id;cliente;nacionalidad;comentario_completo;tipo de habitacion;noches;fecha_alojamiento;tipo_cliente;fecha de comentario
c80293a386860696;Jan;Países Bajos;The place is just fine, friendly staff, had a shared bathroom but never had any problems with it.;Habitación Individual con baño compartido;4 noches;septiembre de 2022;Persona que viaja sola;2022-09-26
9db3003f4e0cd02e;Claudia;España;Ideal para una escapada.La ubicación es muy buena, el sitio es chiquito pero acogedor. La muchacha que nos atendió fue bastante atenta, dejó cositas para el desayuno. Los baños estaban limpios. La habitación estaba bien decorada y había muchos folletos informativos.Las sábanas estaban un poco sucias y la ventana nos costó bastante que cerrara. Había bastante ruido en el pasillo pero bueno, supongo que era porque las personas hablaban alto. Calidad precio está bastante bien.;Habitación Doble con ducha;1 noche;septiembre de 2022;En pareja;2022-09-26
6cf57b60ec79af3e;Berenguer;España;Muy bien.;Habitación Doble con baño compartido;2 noches;septiembre de 2022;En grupo;2022-09-26
e255b354119c381b;David;Portugal;Aceptable.;Habitación Doble con ducha - 2 camas;1 noche;septiembre de 2022;En pareja;2022-09-25
b53f14660e4cb959;Veronique;Canadá;Il n'y a pas de salle à manger  même s'il y a une cuisine donc obligés de manger dans notre chambre  ni de salon pour se détendre et c'est très sombre dans tout l'hôtel.;Habitación Doble con baño compartido;3 noches;septiembre de 2022;En pareja;2022-09-24
e6247b87ac67f626;Mark;España;Excellent location, very friendly staff, great communication and surprisingly comfortable pillows. I will certainly consider returning should the opportunity arise.;Habitación Doble con baño compartido - 2 camas;2 noches;septiembre de 2022;En familia;2022-09-24
4e8cf4940ae2e38c;Carmen;España;Excepcional.;Habitación Doble con ducha;1 noche;septiembre de 2022;Persona que viaja sola;2022-09-24
0bbb6f290d284916;Carmen;España;Muy bien.La ubicación.Era una habitación interior y no había mucha ventilación, aunque había aire acondicionado.;Habitación Doble con ducha;2 noches;septiembre de 2022;En pareja;2022-09-22
cbea7f7067e415aa;José;España;Fantástico.;Habitación Doble con ducha;2 noches;septiembre de 2022;En familia;2022-09-21
6720296e262ea657;Emilie;Francia;L'emplacement, la chambre, l'accueil.;Habitación Doble con baño compartido;8 noches;julio de 2022;En familia;2022-09-20
017b16dc5f4aac29;Pauline;Francia;"La pension est super bien située au cœur de la vieille ville de Cadiz, et avec tous les commerces à proximité.Les toilettes partagées étaient propres.La literie est confortable. Le check out avec remise des clés dans la boite à clés si départ tôt le matin est très pratique.Possibilité d'accéder à une salle avec du café à disposition, ainsi qu'à une cuisine commune si besoin.";Habitación Doble con ducha - 2 camas;2 noches;septiembre de 2022;En pareja;2022-09-20
ab0fa22a4c1b12b3;Veronica;España;Fantástico.;Habitación Individual con baño compartido;3 noches;septiembre de 2022;Persona que viaja sola;2022-09-19
4f82c2d064d36d10;Adrian;Alemania;Fantástico.;Habitación Doble con baño compartido;1 noche;septiembre de 2022;En grupo;2022-09-19
10aeb8d503341daa;Anne;Reino Unido;the location was amazing.;Habitación Doble con baño compartido - 2 camas;2 noches;septiembre de 2022;En pareja;2022-09-18
f61200f8ef9f0fd2;Raquel;España;Excepcional.;Habitación Doble con baño privado - 2 camas;2 noches;septiembre de 2022;En familia;2022-09-18
733e6c1ed1d5b2d0;Fatih;Alemania;sehr Sauber und Zentral gelegen!.;Habitación Individual con baño compartido;1 noche;septiembre de 2022;Persona que viaja sola;2022-09-18
0269feaeb437360c;Maria;España;Muy bien.;Habitación Doble con ducha - 2 camas;2 noches;septiembre de 2022;En familia;2022-09-18
8e780f5f399b31e5;Juan;España;Impresionante.La ubicación es lo mejor, en plano centro de Cadiz.;Habitación Doble con ducha;1 noche;septiembre de 2022;En pareja;2022-09-17
78b88bc3e6d16d97;Silvia;España;Excepcional.;Habitación Doble con ducha - 2 camas;2 noches;septiembre de 2022;En familia;2022-09-16
7e55b94b9008ec08;Uxue;España;Muy bien.Habitación sencilla, calidad precio correcto.Como comentario el colchón no era cómodo y faltaba luz tanto natural como artificial en la habitación.;Habitación Doble con ducha - 2 camas;1 noche;septiembre de 2022;En familia;2022-09-16
85d1108d1f8534b1;Valerie;Países Bajos;Fijn ontvangst en de gastvrijheid. Alles was erg schoon en goed verzorgd. Top locatie!.;Habitación Doble con baño compartido;1 noche;septiembre de 2022;En pareja;2022-09-15
41cd8c617dc80485;Jose;España;Muy bien.;Habitación Individual con baño compartido;6 noches;septiembre de 2022;Persona que viaja sola;2022-09-15
efb126a93568b1c6;Mercedes;España;Muy bien.Ubicación.Que la habitación no tuviera ventana.;Habitación Doble con baño privado - 2 camas;2 noches;septiembre de 2022;En pareja;2022-09-15
1495b70f85d0c60e;Raquel;España;Fantástico.;Habitación Doble con baño compartido;4 noches;septiembre de 2022;Persona que viaja sola;2022-09-14
0850e3191d4bf9ac;Mustapha;España;Me encanta .Maquina de espresso.Nada.;Habitación Individual con baño compartido;1 noche;septiembre de 2022;Persona que viaja sola;2022-09-14
4c1fdb98861b3f5f;Vicente;España;Fantástico.Como siempre su hospitalidad.La próxima la 101 o 103. .;Habitación Doble con ducha - 2 camas;2 noches;septiembre de 2022;Persona que viaja sola;2022-09-13
475f66bed2cac5d1;Laureline;Francia;Très bien situé, au cœur du quartier historique de Cadix, près de la gare et de la Caleta.;Habitación Doble con baño compartido;1 noche;septiembre de 2022;En pareja;2022-09-12
2a24a7ca961af712;Manuel;España;Bien.;Habitación Doble con ducha - 2 camas;2 noches;septiembre de 2022;En grupo;2022-09-12
cf91a7a32409d4cc;Paula;España;Bien.;Habitación Doble con baño privado - 2 camas;1 noche;septiembre de 2022;En pareja;2022-09-10
7fcc6d1ff235c7d7;Malaponte;Argentina;Bien.La ubicación es todo. La limpieza y la tranquilidad del lugar. La cama muy cómoda.Que la ventana diera a un pasillo y no al exterior.;Habitación Doble con ducha;2 noches;septiembre de 2022;En familia;2022-09-09
b8e071a1840523c6;Bogdan;España;"Bien.Pension con muy buena ubicacion para visitar el casco historico. El detalle del rincon de cafe y te es genial!
Calidad- precio correcto.";Habitación Doble con baño compartido - 2 camas;2 noches;septiembre de 2022;En pareja;2022-09-08
eb58307a5de39398;Rafalin;España;Estancia muy agradable y muy céntrico.Muy buena la ubicación, sitio tranquilo.El aire acondicionado no funcionaba correctamente en la habitación n°5.;Habitación Individual con baño compartido;2 noches;agosto de 2022;Persona que viaja sola;2022-09-07
72fc482471004ea3;Rocio;España;Aceptable.;Habitación Doble con baño privado - 2 camas;1 noche;julio de 2022;En grupo;2022-09-07
eccc6e88805f6765;Inmaculada;España;suficiente.la ubicacion es excelente, asi mismo la chica de recepcion fue un encanto, amable y simmpatica.baño compartido.;Habitación Doble con ducha;2 noches;septiembre de 2022;En pareja;2022-09-06
968502823c0fdb64;Alejandra;España;Muy bien.;Habitación Doble con baño compartido;2 noches;septiembre de 2022;Persona que viaja sola;2022-09-05
4edc1b74f880659b;Olivares;España;muy coqueto, y amables.estaba todo céntrico, ademas muy limpio, lo tienen súper coqueto en cuanto al personal súper pendientes de mi llegada les doy un 10 .lo del baño que era compartido , pero tampoco es un inconveniente si era solo una noche.;Habitación Doble con baño compartido - 2 camas;1 noche;septiembre de 2022;En pareja;2022-09-04
d053a61344041f21;Cadu1979;Francia;la gentillesse des personnels.;Habitación Individual con baño compartido;1 noche;agosto de 2022;Persona que viaja sola;2022-09-04
195460fe925f7dfe;Robert;Polonia;Fantástico.;Habitación Doble con baño compartido - 2 camas;6 noches;septiembre de 2022;En pareja;2022-09-04
8e6f6f1375b3b4b9;Anónimo;España;Bien.;;2 noches;septiembre de 2022;En pareja;2022-09-04
15d5147b6ee753c1;Noureddine;Marruecos;Excepcional.;Habitación Doble con ducha - 2 camas;1 noche;julio de 2022;En familia;2022-09-03
