id;cliente;nacionalidad;comentario_completo;tipo de habitacion;noches;fecha_alojamiento;tipo_cliente;fecha de comentario
18bf73bff0308dc2;Torrico;España;Excepcional.Todo.El plato de ducha resbala un poco.;Estudio;3 noches;mayo de 2022;En pareja;2022-05-18
62069f1d15abca11;Dominique;Francia;Fantástico.;Estudio;1 noche;mayo de 2022;En pareja;2022-05-18
0d70e1865c9ca1d4;Ingrid;Alemania;Die Lage ist top und das Apartment war recht groß mit Blick auf die Calle und kleinem Balkon. Bei geschlossenem Fenster absolut ruhig. Tolle Dachterasse , im Haupthaus mit Meerblick. Stühle, Liegen und Dusche vorhanden. Sehr gepflegte Anlage. Tiefgarage recht gut befahrbar.;Apartamento de 1 dormitorio (2 adultos);2 noches;mayo de 2022;En pareja;2022-05-18
3b588685dd0c611e;Susana;España;Fantástico.La situación en el Barrio de la Vía es ideal.;Estudio;5 noches;mayo de 2022;En familia;2022-05-18
5660b1a0146bd864;Sarah;Canadá;Excepcional.;Estudio;1 noche;mayo de 2022;En grupo;2022-05-18
f5952315f3345fa2;Jack;Bélgica;Goede kamer met alle faciliteiten aanwezig op wandel afstand van alle bezienswaardigheden. Rustig en geen lawaai.;Estudio;2 noches;mayo de 2022;En pareja;2022-05-18
5860ae91b240f98b;Dana;Estados Unidos;"The location was superb.  One of the best tapa bars in town was directly across the street; the beach was a 5-minute walk to the left and the Mercado Central (fresh market) was a 7-minute walk to the right. The apartment was very spacious and clean and the staff was very helpful with recommendations and securing a taxi to another town for us on departure day.";Apartamento de 2 dormitorios;2 noches;abril de 2022;En familia;2022-05-17
133c3b1342eb23de;Tamara;Australia;maravilloso.nos encantó nuestra estancia y nos hubiese gustado quedarnos más tiempo. Muy limpio y tiene todo lo que necesitas: plancha, platos, etc.todo perfecto.;Apartamento de 1 dormitorio (2 adultos);2 noches;mayo de 2022;En pareja;2022-05-17
44513484574816b1;Martina;Italia;"PRO: posizione ottima, parcheggio convenzionato a pagamento a 10 minuti a piedi dagli appartamenti, servizi nelle vicinanze presenti, staff cortese e disponibile.Ho alloggiato in una camera monolocale con angolo cottura e bagno, camera pulita e con tutto il necessario per alloggi (cucina pulita, stoviglie, bollitore, elettrodomestici, pentolame presente), ferro da stiro presente. Presente anche servizio lavanderia. Terrazza molto carina sempre aperta.";Estudio;2 noches;mayo de 2022;En pareja;2022-05-17
cec1e7f5ec51e289;Nuria;España;Fantástico.;Estudio;1 noche;abril de 2022;En pareja;2022-05-17
ff2f5280464fff47;Luca;Italia;Ottima posizione per girare la città, ci si arriva comodamente in automobile. Camera grande e pulita, staff molto gentile.;Habitación Doble Estándar;1 noche;mayo de 2022;En pareja;2022-05-17
64a73d46de7dbfdd;Deirdre;Reino Unido;Location to the Fish market and Cathedral was very good. The restaurants either side of the Fish market were excellent. Nearby supermarket. Near bars and restaurants.  Comfortable beds and pillows. Staff very pleasant and helpful.;Apartamento de 3 dormitorios;3 noches;mayo de 2022;En grupo;2022-05-17
d98e09e54aff4985;Pablo;España;Muy bien.Muy bien ubicado. Cerca de todo andando. El estudio es muy cómodo para pasar unos días. Hay aparcamiendo muy cerca y a un precio muy razonable.;Estudio;3 noches;mayo de 2022;En pareja;2022-05-17
c231c65d2a3abb3a;Ernest;Gibraltar;Fantástico.;Estudio;1 noche;mayo de 2022;En pareja;2022-05-17
3bc215fd8d5a4f70;Oscar;España;Buenos apartamentos.La ubicación, q tuviera aparcamiento propio.Para varios días una lavadora estaría bien (desconozco si había una común).;Apartamento de 2 dormitorios;1 noche;mayo de 2022;En familia;2022-05-17
af035f831182a3b0;Nicolás;España;Excepcional.;Habitación Doble para uso individual;1 noche;mayo de 2022;Persona que viaja sola;2022-05-16
84a0b58ce964ea31;Juan;España;Perfecta.Magnífica ubicación.Nada.;Estudio;1 noche;mayo de 2022;En pareja;2022-05-16
e3da48faafe50bc1;Ricardo;España;semana fantástica.limpieza y situación.;Estudio;7 noches;mayo de 2022;En pareja;2022-05-16
e8b6fc39a50cc3d6;Viktoras;Lituania;Place and staff 10/10.;Apartamento de 3 dormitorios (5 adultos);1 noche;mayo de 2022;En familia;2022-05-16
f293b2f395cfa635;Cid;España;Excepcional.La ubicación y la limpieza.;Estudio;1 noche;mayo de 2022;En pareja;2022-05-16
84366f9ac49507c5;Montserrat;España;Bien.;Estudio;1 noche;mayo de 2022;En familia;2022-05-16
34ff88720126c8bb;Radoslaw;Polonia;Fantástico.;Habitación Doble Estándar;1 noche;mayo de 2022;En pareja;2022-05-16
aca2a6a61e0d5b9b;Paul;Reino Unido;Good location. Had breakfast at a cafe.;Estudio;2 noches;mayo de 2022;Persona que viaja sola;2022-05-16
79d10d5475a446a2;Alice;Francia;très bon emplacement, confortable et très propre.;Habitación Doble Estándar;1 noche;mayo de 2022;En pareja;2022-05-16
321ff8790f92b8d8;Antonio;España;Excepcional.Magnífico, por ubicación, limpieza, y totalmente reformado, personal amable y atento.;Estudio;1 noche;mayo de 2022;En familia;2022-05-16
718e0b2d8b96ab4f;Jose;España;Perfecto.la insonorización, la ubicación y la amplitud de la habitación.el cuarto de baño.poca luz y muy simple.;Estudio;1 noche;mayo de 2022;En pareja;2022-05-15
e4c04d4e9c7bd763;María;España;Fantástico.La ubicación.Todo fue muy bien.;Habitación Doble Estándar;1 noche;mayo de 2022;En pareja;2022-05-15
caedc4a14f42a041;Jan;Países Bajos;"ruim appartement; in de oude stad; schoon; vriendelijke medewerkers.";Estudio;2 noches;mayo de 2022;En pareja;2022-05-15
b23ee607cfd5f755;Jenny;Alemania;Sehr freundliches und hilfsbereites Personal, sehr bequeme Betten, großes Zimmer.;Estudio;2 noches;mayo de 2022;En familia;2022-05-15
941606e6afae8ec8;Isabel;España;Fantástico.Ubicación excelente, al lado de la playa de La Caleta  y del centro histórico. Apartamentos limpios y prácticamente equipados. Atención muy buena. Las mejores tortillas de camarón de Cádiz las hacen al lado, en la taberna Casa Manteca.;Estudio;2 noches;mayo de 2022;En familia;2022-05-15
7f46cd2f692a2e72;65travel;Países Bajos;Fantástico.;Estudio;2 noches;mayo de 2022;En familia;2022-05-15
5030cf816fa10b5b;Fernanda;España;Excepcional.Ubicación e instalaciones.;Estudio;5 noches;mayo de 2022;En grupo;2022-05-15
c15a2e2a7f5641ea;Nikki;Países Bajos;De locatie was perfect! Dichtbij het centrum en dichtbij het strand. Het personeel was zeer vriendelijk, we mochten de koffers er laten staan terwijl we al waren uitgecheckt. Het bed was lekker, alles was schoon en een heerlijke airco. Een goeie prijs kwaliteit verhouding!.;Habitación Doble Estándar;1 noche;mayo de 2022;En familia;2022-05-15
33a622a834094d3b;Nino;Suiza;la possibilité d'avoir un garage souterrain et la possibilité d'arriver à pied près de la mer ainsi que dans le centre.;Estudio;1 noche;mayo de 2022;En pareja;2022-05-15
cc048d6cd784e378;Gianfranco;Italia;"Camera ampia con angolo cucina annesso.
Posizione centrale rispetto alla città vecchia.";Estudio;1 noche;mayo de 2022;En pareja;2022-05-15
4fbd08e2945eb9d4;Elizabeth;Estados Unidos;excellent location.;Apartamento de 3 dormitorios (5 adultos);1 noche;mayo de 2022;En familia;2022-05-15
1f4617b70f7f65cd;Leticia;España;Muy bien.;Habitación Doble para uso individual;2 noches;febrero de 2022;En grupo;2022-05-15
5c6b91efe9b6c6bf;Alfredo;Argentina;Muy bien.La ubicación, el personal súper amable y resolutivo.Siendo un dúplex, el dormitorio en planta superior no cuenta con armario, eso dificulta un poco la comodidad y orden con la ropa y maletas. El resto muy bien.;Apartamento de 1 dormitorio (2 adultos);2 noches;mayo de 2022;En pareja;2022-05-14
8ec287187324fe71;Alexander;Alemania;Fantástico.;Estudio;3 noches;mayo de 2022;En pareja;2022-05-14
eb91002da3978525;György;Hungría;Clean, spacious room, very nice staff, parking next door.;Estudio;1 noche;mayo de 2022;En pareja;2022-05-14
ad3aeacb91be37dd;Clockworkfrog;Reino Unido;Excepcional.;Habitación Doble Estándar;1 noche;mayo de 2022;En grupo;2022-05-14
e58db847206d0fa6;Piñero;España;Muy bien.Amplitud apartamento y ducha.;Estudio;3 noches;abril de 2022;En grupo;2022-05-14
aca9bf2e48622bbb;Rug89;Alemania;Fantástico.;Apartamento de 2 dormitorios;1 noche;mayo de 2022;En familia;2022-05-14
4ba89722b296f428;Angel;España;"Cadiz con pasión.Pedi habitación silenciosa y cama dura, fue todo correcto, para llegar con coche esta un poco dificil pero el GPS, te lleva bien.Me ofrecierón un mapa con los sitios que ver y visitar, tambien donde comer, fueron muy amables.  Al lado esta la taberna más famosa de Cadiz, pero por circunstancias nosotros no entramos.El parking 18€ me parece muy caro. Lo que hace que suba bastante el precio de la habitación. En general todo estuve muy bien. Sus ruinas fenicias y su museo de Arqueologia son admirables. Cadiz es muy bonito, se parece a la Habana, asi lo decia la canción de nuestro querido Carlos Cano.";Habitación Doble Estándar;2 noches;mayo de 2022;En pareja;2022-05-14
acdb82adcfdf1709;Paul;Reino Unido;The apartment was excellent valve for money.  Extremely big, huge bed, modern bathroom with great shower.  There's also a little kitchen in the room.  The location is perfect and easy to find when you arrive.  I would highly recommend you stay here.  10 out of 10.;Habitación Doble para uso individual;1 noche;mayo de 2022;Persona que viaja sola;2022-05-14
f2b94dd8e37ed687;Jonas;Alemania;Es war ein sehr schönes Zimmer mit guter Lage und sehr freundlichem Personal.;Estudio;2 noches;mayo de 2022;En pareja;2022-05-14
7cf68ac11663348a;Iorgulescu;Rumanía;Excepcional.;Habitación Doble con terraza y vistas al mar;1 noche;mayo de 2022;En pareja;2022-05-14
fec92e98176ac655;Thomas;Alemania;"Die Lage im sehr ursprünglichen Stadtviertel El Vino lässt am spanischen Leben teilhaben. Mehrere, z.T. vorzügliche Tapas -Bars und ein Kinderspielplatz sowie eine Schule teilen sich mit den Ferienwohnungen die Plaza de la Reina. Das sorgt vor allem gegen Wochenende bis tief in die Abendstunden hinein für ein lebhaftes Treiben und für sehr kurze Wege, um spanische Lebensart zu genießen. Die Fenster schließen sehr dicht, sodass nur noch ein Gemurmel übrig bleibt und man Schlaf finden kann. Allerdings kann es dann sehr warm werden. Wir mochten diese ebenso  lebendige wie friedliche Atmosphäre sehr.
Für Mietwagen: gut zu erreichen, nur knapp 5 Minuten zu Fuß, ist der Parkplatz ""Parking Varcárcel"" (24/7 offen, bewacht, 15 €; Stand 05/2022).";Estudio;3 noches;mayo de 2022;En familia;2022-05-14
4bf634593348e0e9;Kevin;Abjasia, ​Georgia;This property is very very good.;Estudio;1 noche;mayo de 2022;En pareja;2022-05-13
b11d480aa1327db6;Marie-paule;Francia;Le parking, l emplacement central et la gentillesse du personnel.;Estudio;1 noche;mayo de 2022;En familia;2022-05-13
e61e208dd75505d1;Natividad;España;Estupenda.Todo estaba bien y la terraza del piso superior, accesible para los huéspedes muy bien. También la posibilidad de lavar y secar la ropa.Todo estuvo bien.;Estudio;8 noches;mayo de 2022;En pareja;2022-05-13
f525459e6aeaed83;Albert;España;Fantástico.;Habitación Doble con terraza y vistas al mar;1 noche;mayo de 2022;En pareja;2022-05-13
